time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-23T23:58:54.910Z,59.6001,-152.9542,110.6,1.4,ml,,,,0.26,ak,ak0239drobf7,2023-07-29T16:12:05.603Z,"64 km WNW of Nanwalek, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-07-23T23:54:42.270Z,37.5031667,-118.8465,4.97,0.91,md,16,296,0.0878,0.03,nc,nc73915931,2023-07-24T18:21:36.086Z,"16 km WSW of Toms Place, CA",earthquake,1.63,1.79,0.129,15,reviewed,nc,nc
2023-07-23T23:49:07.131Z,64.6692,-149.1449,14.3,0.6,ml,,,,0.57,ak,ak0239drmaa5,2023-07-29T16:12:01.817Z,"7 km N of Four Mile Road, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-07-23T23:46:40.536Z,60.089,-152.8445,109.6,1.3,ml,,,,0.19,ak,ak0239drlppx,2023-07-29T16:12:05.411Z,"64 km WNW of Happy Valley, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-07-23T23:43:59.108Z,61.7169,-149.8119,40,1.1,ml,,,,0.71,ak,ak0239drl3xh,2023-07-29T16:12:01.596Z,"9 km N of Houston, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-07-23T23:40:28.469Z,61.3051,-140.6119,9.4,1.1,ml,,,,0.55,ak,ak0239drkeh0,2023-07-29T16:12:01.399Z,"124 km E of McCarthy, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-07-23T23:20:40.110Z,34.1393333,-116.8173333,5.42,0.84,ml,26,65,0.1042,0.13,ci,ci39620034,2023-07-24T20:51:56.915Z,"14km S of Big Bear City, CA",earthquake,0.17,0.55,0.092,14,reviewed,ci,ci
2023-07-23T23:15:07.390Z,38.7875,-122.7288333,1.17,1.06,md,24,51,0.007494,0.06,nc,nc73915916,2023-07-25T22:55:14.256Z,"3 km ENE of The Geysers, CA",earthquake,0.17,0.29,0.257,19,reviewed,nc,nc
2023-07-23T23:11:04.147Z,62.2148,-150.3281,9.6,1,ml,,,,0.64,ak,ak0239dre4uj,2023-07-29T16:12:01.187Z,"12 km SSW of Trapper Creek, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-07-23T23:00:42.476Z,64.9971,-147.4265,0,1.1,ml,,,,0.35,ak,ak0239drbuy1,2023-07-30T23:53:48.167Z,"10 km ENE of Fox, Alaska",explosion,,0,,,reviewed,ak,ak
